name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Clacky Keyboard,clacky-keyboard,"Let all your colleagues know that you are typing on this exclusive, colorful klicky-klacky keyboard. Huge travel on each keypress ensures maximum klack on each and every keystroke.",,category:electronics|category:computers,,,A4TKLA45535,74.89,standard,100,TRUE,,
USB Cable,usb-cable,"Solid conductors eliminate strand-interaction distortion and reduce jitter. As the surface is made of high-purity silver, the performance is very close to that of a solid silver cable, but priced much closer to solid copper cable.",,category:electronics|category:computers,,,USBCIN01.5MI,69,standard,100,TRUE,,
Instant Camera,instant-camera,"With its nostalgic design and simple point-and-shoot functionality, the Instant Camera is the perfect pick to get started with instant photography.",,category:electronics|category:photo,,,IC22MWDD,174.99,standard,100,TRUE,,
Camera Lens,camera-lens,This lens is a Di type lens using an optical system with improved multi-coating designed to function with digital SLR cameras as well as film cameras.,,category:electronics|category:photo,,,B0012UUP02,104,standard,100,TRUE,,
Tripod,tripod,"Capture vivid, professional-style photographs with help from this lightweight tripod. The adjustable-height tripod makes it easy to achieve reliable stability and score just the right angle when going after that award-winning shot.",,category:electronics|category:photo,,,B00XI87KV8,14.98,standard,100,TRUE,,
SLR Camera,slr-camera,"Retro styled, portable in size and built around a powerful 24-megapixel APS-C CMOS sensor, this digital camera is the ideal companion for creative everyday photography. Packed full of high spec features such as an advanced hybrid autofocus system able to keep pace with even the most active subjects, a speedy 6fps continuous-shooting mode, high-resolution electronic viewfinder and intuitive swivelling touchscreen, it brings professional image making into everyone’s grasp.",,category:electronics|category:photo,,,B07D75V44S,521,standard,100,TRUE,,
Road Bike,road-bike,"Featuring a full carbon chassis - complete with cyclocross-specific carbon fork - and a component setup geared for hard use on the race circuit, it's got the low weight, exceptional efficiency and brilliant handling you'll need to stay at the front of the pack.",,category:sports equipment,,,RB000844334,2499,standard,100,TRUE,,
Skipping Rope,skipping-rope,When you're working out you need a quality rope that doesn't tangle at every couple of jumps and with this sipping rope you won't have this problem.,,category:sports equipment,,,B07CNGXVXT,7.99,standard,100,TRUE,,
Boxing Gloves,boxing-gloves,"Training gloves designed for optimum training. Our gloves promote proper punching technique because they are conformed to the natural shape of your fist. Dense, innovative two-layer foam provides better shock absorbency and full padding on the front, back and wrist to promote proper punching technique.",,category:sports equipment|color:black,,,B000ZYLPPU,33.04,standard,100,TRUE,,
Tent,tent,"With tons of space inside (for max. 4 persons), full head height throughout the entire tent and an unusual and striking shape, this tent offers you everything you need.",,category:sports equipment|color:black,,,2000023510,214.93,standard,100,TRUE,,
Cruiser Skateboard,cruiser-skateboard,"Based on the 1970s iconic shape, but made to a larger 69cm size, with updated, quality component, these skateboards are great for beginners to learn the foot spacing required, and are perfect for all-day cruising.",,category:sports equipment|color:wood,,,799872520,24.99,standard,100,TRUE,,
Football,football,"This football features high-contrast graphics for high-visibility during play, while its machine-stitched tpu casing offers consistent performance.",,category:sports equipment|color:black|color:white,,,SC3137-056,57.07,standard,100,TRUE,,
Running Shoe,running-shoe,"With its ultra-light, uber-responsive magic foam and a carbon fiber plate that feels like it’s propelling you forward, the Running Shoe is ready to push you to victories both large and small",,category:sports equipment|color:blue,shoe size,Size 40,RS0040,99.99,standard,100,TRUE,,
,,,,,,Size 42,RS0042,99.99,standard,100,TRUE,,
,,,,,,Size 44,RS0044,99.99,standard,100,TRUE,,
,,,,,,Size 46,RS0046,99.99,standard,100,TRUE,,
Spiky Cactus,spiky-cactus,A spiky yet elegant house cactus - perfect for the home or office. Origin and habitat: Probably native only to the Andes of Peru,,category:home & garden|category:plants,,,SC011001,15.5,standard,100,TRUE,,
Orchid,orchid,Gloriously elegant. It can go along with any interior as it is a neutral color and the most popular Phalaenopsis overall. 2 to 3 foot stems host large white flowers that can last for over 2 months.,,category:home & garden|category:plants|color:pink|color:green,,,ROR00221,65,standard,100,TRUE,,
Bonsai Tree,bonsai-tree,Excellent semi-evergreen bonsai. Indoors or out but needs some winter protection. All trees sent will leave the nursery in excellent condition and will be of equal quality or better than the photograph shown.,,category:home & garden|category:plants|color:green,,,B01MXFLUSV,19.99,standard,0,TRUE,,